network_type,target_kappa_eff,realized_kappa_eff,mechanism,seed,init_mode,noise_bare,noise_eff,omega_std,residual_kappa,initial_CI,mean_CI,final_CI,min_CI,pct_time_ge_0.75,success,delta_mean_CI_vs_none,delta_final_CI_vs_none,effect_isolated
smallworld,0.1,0.1,noise_suppression,12,random,0.01,7.297e-05,0.02,0.0,0.133231,0.153414,0.174403,0.133231,0.0,False,0.000297,0.000544,False
smallworld,0.1,0.1,freq_narrowing,12,random,0.01,0.01,0.00291894,0.0,0.133231,0.150529,0.169118,0.133231,0.0,False,-0.002588,-0.004741,False
smallworld,0.1,0.1,residual_meanfield,12,random,0.01,0.01,0.02,0.2,0.133231,0.211687,0.30894,0.133231,0.0,False,0.05857,0.135081,True
smallworld,0.1,0.1,none,17,random,0.01,0.01,0.02,0.0,0.163877,0.181589,0.200147,0.163877,0.0,False,0.0,0.0,False
smallworld,0.1,0.1,noise_suppression,17,random,0.01,7.297e-05,0.02,0.0,0.163877,0.181831,0.200566,0.163877,0.0,False,0.000242,0.000419,False
smallworld,0.1,0.1,freq_narrowing,17,random,0.01,0.01,0.00291894,0.0,0.163877,0.18325,0.203423,0.163877,0.0,False,0.001661,0.003276,False
smallworld,0.1,0.1,residual_meanfield,17,random,0.01,0.01,0.02,0.2,0.163877,0.246025,0.346982,0.163877,0.0,False,0.064436,0.146835,True
smallworld,0.2,0.2,none,3,random,0.01,0.01,0.02,0.0,0.071065,0.079795,0.087118,0.071065,0.0,False,0.0,0.0,False
smallworld,0.2,0.2,noise_suppression,3,random,0.01,7.297e-05,0.02,0.0,0.071065,0.079927,0.087226,0.071065,0.0,False,0.000132,0.000108,False
smallworld,0.2,0.2,freq_narrowing,3,random,0.01,0.01,0.00291894,0.0,0.071065,0.086461,0.102956,0.071065,0.0,False,0.006666,0.015838,True
smallworld,0.2,0.2,residual_meanfield,3,random,0.01,0.01,0.02,0.2,0.071065,0.107485,0.153527,0.071065,0.0,False,0.02769,0.066409,True
smallworld,0.2,0.2,none,5,random,0.01,0.01,0.02,0.0,0.033844,0.046671,0.056188,0.033844,0.0,False,0.0,0.0,False
smallworld,0.2,0.2,noise_suppression,5,random,0.01,7.297e-05,0.02,0.0,0.033844,0.046376,0.055724,0.033844,0.0,False,-0.000295,-0.000464,False
smallworld,0.2,0.2,freq_narrowing,5,random,0.01,0.01,0.00291894,0.0,0.033844,0.051141,0.064006,0.033844,0.0,False,0.00447,0.007818,False
smallworld,0.2,0.2,residual_meanfield,5,random,0.01,0.01,0.02,0.2,0.033844,0.063321,0.098909,0.033844,0.0,False,0.01665,0.042721,True
smallworld,0.2,0.2,none,12,random,0.01,0.01,0.02,0.0,0.133231,0.171719,0.211266,0.133231,0.0,False,0.0,0.0,False
